report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Bahia,BA,False,0.0051,0.004699999999999999,0.0043,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Goiás,GO,False,0.009000000000000001,0.008,0.006999999999999999,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Maranhão,MA,False,0.0014000000000000002,0.0005,0.0014000000000000002,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Minas Gerais,MG,False,0.006999999999999999,0.0068000000000000005,0.0079,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Paraná,PR,False,0.0096,0.0095,0.0097,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Piauí,PI,False,0.001,0.0005,0.0005,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Rio Grande do Sul,RS,False,0.0084,0.008199999999999999,0.008199999999999999,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Santa Catarina,SC,False,0.009899999999999999,0.009899999999999999,0.0098,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,harvest,Total,,True,0.00687,0.00657,0.0066,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Bahia,BA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Paraná,PR,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
